Sr#,Code,Word,Block,Session
1,SCT-T65,Talking to authorities feels...,A1,1
2,SCT-T98,I feel ___ when questioned directly,A1,1
3,SCT-T85,I feel ___ during conversation,A1,1
4,SCT-T54,"During my turn, I feel...",A1,1
5,SCT-T100,I feel ___ when expressing ideas,A1,1
6,SCT-T105,I feel ___ expressing my opinions,A1,1
7,SCT-T41,"When answering questions, I appear...",A1,1
8,SCT-T106,It is ___ to share my ideas publicly,A1,1
9,SCT-T10,"When teacher comments, I feel...",A1,1
10,SCT-T102,I feel ___ beside confident people,A1,1
11,SCT-T94,I appear ___ while speaking,A1,1
12,SCT-T47,Asking questions makes me feel...,A1,1
13,SCT-T72,Asking others for help feels...,A1,1
14,SCT-T119,Asking question during a lecture feels...,A1,1
15,SCT-T109,I feel ___ before my turn,A1,1
16,SCT-T2,Being interrupted makes me feel...,A1,1
17,SCT-T24,My family believes I am...,A1,1
18,SCT-T38,Relatives describe me as...,A1,1
19,SCT-T79,Being included in task makes me...,A1,1
20,SCT-T39,"In class activities, I am usually...",A1,1
21,SCT-P129,The park feels truly ___,A1,1
22,SCT-P36,My spirit is truly ___,A1,1
23,SCT-P16,The day started very ___,A1,1
24,SCT-P152,The stillness feels very ___,A1,1
25,SCT-P17,I live a ___ life,A1,1
26,SCT-P46,My path is truly ___,A1,1
27,SCT-P104,My purpose is very ___,A1,1
28,SCT-P164,I feel protected and ___,A1,1
29,SCT-P144,My art feels very ___,A1,1
30,SCT-P19,I feel ___ every day,A1,1
1,SCT-T15,"In group settings, I am...",B1,1
2,SCT-T7,"In group study, I am usually...",B1,1
3,SCT-T31,"In groups, I am often...",B1,1
4,SCT-T28,Others often think I am...,B1,1
5,SCT-T62,Being watched makes me ...,B1,1
6,SCT-T30,I handle attention by feeling...,B1,1
7,SCT-T20,"In public, I appear...",B1,1
8,SCT-T9,I feel...when others observe me.,B1,1
9,SCT-T73,Being pointed out feels...,B1,1
10,SCT-T16,Being seen makes me feel...,B1,1
11,SCT-T33,"When people stare, I feel...",B1,1
12,SCT-T6,People watch me as I am...,B1,1
13,SCT-T34,Classmates often see me as...,B1,1
14,SCT-T76,Peers usually see me as...,B1,1
15,SCT-T21,Friends usually find me very...,B1,1
16,SCT-T17,I am often described as...,B1,1
17,SCT-T23,I am seen as very...,B1,1
18,SCT-T95,Others often find me ___,B1,1
19,SCT-T80,Being in front of line feels...,B1,1
20,SCT-T89,I seem ___ while taking initiative,B1,1
21,SCT-P146,The creative work feels ___,B1,1
22,SCT-P31,The sky looks very ___,B1,1
23,SCT-P154,My calm spirit is ___,B1,1
24,SCT-P10,Good things are ___,B1,1
25,SCT-P12,I have great ___ ahead,B1,1
26,SCT-P102,My imagination is very ___,B1,1
27,SCT-P73,I am a ___ person,B1,1
28,SCT-P92,I found my true ___,B1,1
29,SCT-P42,The little things feel ___,B1,1
30,SCT-P50,I celebrate being very ___,B1,1
1,SCT-T49,"During viva, I am usually...",C1,1
2,SCT-T77,Handling challenges publicly feels...,C1,1
3,SCT-T36,"During presentations, I appear...",C1,1
4,SCT-T52,"When presenting, I feel...",C1,1
5,SCT-T88,I appear ___ during public interactions,C1,1
6,SCT-T81,Making mistakes publicly feels...,C1,1
